file_name	category_id
train_0.jpg	21
train_1.jpg	22
train_2.jpg	11
train_3.jpg	18
train_4.jpg	21
train_5.jpg	1
train_6.jpg	21
train_7.jpg	7
train_8.jpg	21
train_9.jpg	22
train_10.jpg	7
train_11.jpg	11
train_12.jpg	5
train_13.jpg	22
train_14.jpg	23
train_15.jpg	5
train_16.jpg	8
train_17.jpg	21
train_18.jpg	21
train_19.jpg	21
train_20.jpg	22
train_21.jpg	21
train_22.jpg	6
train_23.jpg	21
train_24.jpg	22
train_25.jpg	22
train_26.jpg	12
train_27.jpg	5
train_28.jpg	0
train_29.jpg	22
train_30.jpg	22
train_31.jpg	5
train_32.jpg	7
train_33.jpg	4
train_34.jpg	5
train_35.jpg	21
train_36.jpg	21
train_37.jpg	15
train_38.jpg	6
train_39.jpg	5
train_40.jpg	18
train_41.jpg	19
train_42.jpg	5
train_43.jpg	0
train_44.jpg	18
train_45.jpg	21
train_46.jpg	21
train_47.jpg	12
train_48.jpg	21
train_49.jpg	4
train_50.jpg	4
train_51.jpg	21
train_52.jpg	3
train_53.jpg	1
train_54.jpg	15
train_55.jpg	21
train_56.jpg	5
train_57.jpg	21
train_58.jpg	5
train_59.jpg	6
train_60.jpg	21
train_61.jpg	6
train_62.jpg	23
train_63.jpg	1
train_64.jpg	5
train_65.jpg	8
train_66.jpg	3
train_67.jpg	3
train_68.jpg	20
train_69.jpg	4
train_70.jpg	21
train_71.jpg	3
train_72.jpg	22
train_73.jpg	3
train_74.jpg	21
train_75.jpg	23
train_76.jpg	4
train_77.jpg	5
train_78.jpg	18
train_79.jpg	7
train_80.jpg	5
train_81.jpg	4
train_82.jpg	5
train_83.jpg	5
train_84.jpg	4
train_85.jpg	18
train_86.jpg	1
train_87.jpg	1
train_88.jpg	5
train_89.jpg	18
train_90.jpg	4
train_91.jpg	5
train_92.jpg	3
train_93.jpg	21
train_94.jpg	21
train_95.jpg	10
train_96.jpg	21
train_97.jpg	4
train_98.jpg	12
train_99.jpg	0
train_100.jpg	21
train_101.jpg	5
train_102.jpg	3
train_103.jpg	0
train_104.jpg	0
train_105.jpg	5
train_106.jpg	5
train_107.jpg	21
train_108.jpg	6
train_109.jpg	5
train_110.jpg	4
train_111.jpg	3
train_112.jpg	7
train_113.jpg	5
train_114.jpg	0
train_115.jpg	23
train_116.jpg	5
train_117.jpg	21
train_118.jpg	6
train_119.jpg	3
train_120.jpg	1
train_121.jpg	7
train_122.jpg	0
train_123.jpg	21
train_124.jpg	20
train_125.jpg	5
train_126.jpg	22
train_127.jpg	5
train_128.jpg	21
train_129.jpg	1
train_130.jpg	21
train_131.jpg	3
train_132.jpg	5
train_133.jpg	4
train_134.jpg	5
train_135.jpg	21
train_136.jpg	19
train_137.jpg	21
train_138.jpg	21
train_139.jpg	22
train_140.jpg	22
train_141.jpg	22
train_142.jpg	22
train_143.jpg	5
train_144.jpg	21
train_145.jpg	22
train_146.jpg	21
train_147.jpg	5
train_148.jpg	21
train_149.jpg	22
train_150.jpg	7
train_151.jpg	16
train_152.jpg	22
train_153.jpg	12
train_154.jpg	12
train_155.jpg	6
train_156.jpg	7
train_157.jpg	5
train_158.jpg	17
train_159.jpg	7
train_160.jpg	3
train_161.jpg	23
train_162.jpg	7
train_163.jpg	2
train_164.jpg	5
train_165.jpg	22
train_166.jpg	0
train_167.jpg	22
train_168.jpg	5
train_169.jpg	4
train_170.jpg	7
train_171.jpg	22
train_172.jpg	4
train_173.jpg	3
train_174.jpg	21
train_175.jpg	5
train_176.jpg	3
train_177.jpg	21
train_178.jpg	4
train_179.jpg	1
train_180.jpg	21
train_181.jpg	5
train_182.jpg	22
train_183.jpg	6
train_184.jpg	0
train_185.jpg	3
train_186.jpg	5
